Date,Title,Review_Text,Product,Rating
"July 30, 2020",none,Only problem. This model cannot be synced to Xfinity voice command remotes. Xfinity does not have a compatible code to synchronize to their remotes yet. You have to use tv remote for volume control. This is an Xfinity problem not a TCL problem so may get corrected someday,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"August 19, 2020",Great TV for the price! No complaints!,"Haven't been using this TV for too long, but so far it has been amazing for TV and video games. The audio seems better than I expected for TV built in speakers. The picture comes in really clear and the TV is extremely user friendly!","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 6, 2020",Great price great tv. I made a great choice,I purchased my tv a few weeks ago. It was delivered on time and still in great condition. Tv works perfectly fine. Sound is great. Colors are great. So I went back and purchased this same brand tv just a 65 inch. Which is now mounted in my living room. Hope this review help someone. Have a blessed day everyone.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"August 24, 2020",great value for all primary features,"most cost-effective TV on the market. I have both 65"" and 75"" for two conference rooms in my office.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"November 21, 2020",Decent first leap into the 4k world,"So I basically got this to support my xbox series x.. The picture is great and the ease of setting it up and having it up and running so quickly was a plus. The sound is good but I will definitely be getting a soundbar to give it a little something extra. The remote is very simplistic and gets you to the apps and the volume but I wish there was a menu button because getting to the accessibility section to change even the smallest thing is a daunting task. Just be sure you have a tv stand long enough to support it if you aren't going to wall mount because i upgraded from a 57"" to this tv and had to order and build a new one long and deep enough to accommodate it.. Other than that, happy with the purchase.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"October 11, 2020",Great TV!,"I bought this TV because I wanted a TV to be the size of the wall in my small living room in a condo. I loved this TV but ended up returning it for a couple reasons. 1) It was too big. Never thought there would be such thing as too big, but it was. The living room is small so the TV felt too big. I felt like I couldnt take in the whole picture as I should. 2) I installed a wall mount and The TVs mounting holes are not centered but on the lower portion of the TV back. It made it mount a lot higher than I intended. A TV this size would be great for a larger size room where the viewing space is at least 12ft. away from the TV. This TV is great for the following reasons. - Roku TV has a lot more customizations and features - Roku allows you to pause live TV by adding a USB. - Seems to be faster and more stable than the Android TV. - Roku app to control the TV. Android tv has no phone options at all. - Too much to mention. If youre debating on an Android TV vs the Roku. I suggest the Roku. The Android option seems like a newer option but the Roku has so many more features. Some of the Roku TV brands offer you the option to use voice control with the Roku TV. The photos show a 55"" Android TV on top and the 65"" Roku TV below.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"May 9, 2020",none,I ordered this TV as a store pick up. I ordered it in the morning and was able to pick up same day on the evening. It's super easy to set up. I'm not much of a TV person so I wasn't looking into spending a lot of money. This TV works for me I only use it to watch Netflix. See pictures attached.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"November 20, 2020",none,"This TV is perfect especially for the reasonable price that was provided. The only issue is that the TV kept saying ""TV is over heating"" but after i turn it off for 20 mins it would be fine. I haven't had that issue in awhile though, other than that the TV works like a dream.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"December 2, 2020",Red screen of death? Did TCL use a Samsung design?,"Jury still out here. I like TCL and have had good luck so far with two other TVs from them. BUT, less than two weeks in, this one had the ""red screen of death"" that used to plague Samsung color boards. It only lasted two hours on several streaming services, but its a big (red) warning flag.","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",3.0
"November 12, 2020",No good idea to bye smart TVs with out internet,"One thing now most of Smart TVs the remote controls do not have the key of number to swaps between channels easy as short cuts , meet to go one by one up or down and if control get damage is hard to see other universal control to work with. This is a disadvantage. Thank you JL","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",1.0
"November 29, 2020",Am returning. JUNK,Set tv up yesterday picture was beautiful. Turned it on next morning picture is almost totally black. I then tried adjusting picture settings .this didn't work.i then did a factory reset picture is still black. Will return ASAP. THIS TV IS A TOTAL PIRCE OF JUMK DONT BUY !!!!!!,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",1.0
"December 2, 2020",Satisfied with my 65 TLC,I had my doubts due to mixed reviews BUT sold me was the fact my brother has all TLC 65 in his house and Ive always raved about the picture quality. Hes had them for at least 3 years and no issues so I purchased with confidence its been 2 weeks and Im happy with my purchase color is great fits perfectly in my living room,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",4.0
"November 25, 2020",Great TV for the money,"TV arrived safe and sound, the plastic straps which hold the box together, and are coincidently used to for hand holds, were digging into the box - but held up well. TV was sufficiently padded with Styrofoam and held securely in place. I am a fan of the Roku interface and a previous good experience with TCL led me here. TV booted up, updated, and then added the appropriate channels. HDMI Arc connection worked like a charm so my soundbar was happy. I can't speak to the onboard speakers, but I am sure the onboard sound is good enough. I highly recommend the TCL Roku 4 series 65: TV!","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"November 28, 2020",65 inch TLC smart TV,It was shipped out of my state which was excellent ! the box was very neat and clean new and in excellent condition the carrier treated it with care when I opened it everything was wrapped brand new in my livingroom it was brand new screen clean just love it,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"August 15, 2020",1st TV Owned in 8 years!,"Easy set-up. Very light, so you can move if needed, easily. Clear sound and resolution! Love!","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"November 1, 2020",TCL Roku Rocks,Love love love this 75 inch TCL TV! My niece introduced me to this brand in Dec 2019 when she bought me a 50 inch TCL SmartTv for Christmas and its a great tv with a crisp picture and great sound! So when I remodeled my living room I got the 75 inch TV in July and I can not get enough of this tv might should have gotten a 85 inch instead!,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"April 22, 2020",Great product,Love this TV. Great picture and very reasonably priced. Definitely recommend.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"May 1, 2020",Absolutely love,The picture is super clear and it is a great price for a tv. Easy to set and very sleek,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"September 4, 2020",love it!,I got this tv because me and my family went to wifi tv instead of paying out the butt for cable that goes out and plays the same shows and movies all the time. I will say I was concerned when the fed ex guy delivered it by body hugging the tv on its side! but it was fine and I 100% love it!,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"September 15, 2020",Great buy,I purchased the 65in for my bedroom a few months ago. It arrived on time and in tact. I love it. Its extremely loud without even having to turn it all the way up. There were 2 instances where I cut it on and the screen was black. I simply unplugged it for 10 sec and it came back on. Not sure what that was about but Ive purchased the 3 year protection plan just in case. Its not too heavy. I downloaded the app so I wont have to keep up with the remote. It lags seldom but nothing to complain about. I look forward to purchasing another.,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"July 30, 2020",none,Only problem. This model cannot be synced to Xfinity voice command remotes. Xfinity does not have a compatible code to synchronize to their remotes yet. You have to use tv remote for volume control. This is an Xfinity problem not a TCL problem so may get corrected someday,"TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
"August 19, 2020",Great TV for the price! No complaints!,"Haven't been using this TV for too long, but so far it has been amazing for TV and video games. The audio seems better than I expected for TV built in speakers. The picture comes in really clear and the TV is extremely user friendly!","TCL 75"" Class 4K UHD LED Roku Smart TV 4 Series 75S421",5.0
